%
Copyright (C) 1991-2013 Altera Corporation
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, Altera MegaCore Function License 
Agreement, or other applicable license agreement, including, 
without limitation, that your use is for the sole purpose of 
programming logic devices manufactured by Altera and sold by 
Altera or its authorized distributors.  Please refer to the 
applicable agreement for further details.
%

GROUP CREATE uart:u_uart0|i_wb_dat[7..0] = uart:u_uart0|i_wb_dat[7] uart:u_uart0|i_wb_dat[6] uart:u_uart0|i_wb_dat[5] uart:u_uart0|i_wb_dat[4] uart:u_uart0|i_wb_dat[3] uart:u_uart0|i_wb_dat[2] uart:u_uart0|i_wb_dat[1] uart:u_uart0|i_wb_dat[0] ;
INPUTS brd_clk_p;
OUTPUTS i_uart0_tx o_uart0_rx uart:u_uart0|tx_bit_pulse uart:u_uart0|i_wb_dat[7..0];
UNIT ns;
RADIX HEX;
PATTERN
             0.0> 0 = X X X XX 
     500000000.0> 1 = 1 1 0 00 
    1000000000.0> 0 = 1 1 0 00 
    1500000000.0> 1 = 1 1 0 00 
    2000000000.0> 0 = 1 1 0 00 
    2500000000.0> 1 = 1 1 0 00 
    3000000000.0> 0 = 1 1 0 00 
    3500000000.0> 1 = 1 1 0 00 
    4000000000.0> 0 = 1 1 0 00 
    4500000000.0> 1 = 1 1 0 00 
    5000000000.0> 0 = 1 1 0 00 
    5500000000.0> 1 = 1 1 0 00 
    6000000000.0> 0 = 1 1 0 00 
    6500000000.0> 1 = 1 1 0 00 
    7000000000.0> 0 = 1 1 0 00 
    7500000000.0> 1 = 1 1 0 00 
    8000000000.0> 0 = 1 1 0 00 
    8500000000.0> 1 = 1 1 0 00 
    9000000000.0> 0 = 1 1 0 00 
    9500000000.0> 1 = 1 1 0 00 
   10000000000.0> 0 = 1 1 0 00 
   10500000000.0> 1 = 1 1 0 00 
   11000000000.0> 0 = 1 1 0 00 
   11500000000.0> 1 = 1 1 0 00 
   12000000000.0> 0 = 1 1 0 00 
   12500000000.0> 1 = 1 1 0 00 
   13000000000.0> 0 = 1 1 0 00 
   13500000000.0> 1 = 1 1 0 00 
   14000000000.0> 0 = 1 1 0 00 
   14500000000.0> 1 = 1 1 0 00 
   15000000000.0> 0 = 1 1 0 00 
   15500000000.0> 1 = 1 1 0 00 
   16000000000.0> 0 = 1 1 0 00 
   16500000000.0> 1 = 1 1 0 00 
   17000000000.0> 0 = 1 1 0 00 
   17500000000.0> 1 = 1 1 0 00 
   18000000000.0> 0 = 1 1 0 00 
   18500000000.0> 1 = 1 1 0 00 
   19000000000.0> 0 = 1 1 0 00 
   19500000000.0> 1 = 1 1 0 00 
   20000000000.0> 0 = 1 1 0 00 
   20500000000.0> 1 = 1 1 0 00 
   21000000000.0> 0 = 1 1 0 00 
   21500000000.0> 1 = 1 1 0 00 
   22000000000.0> 0 = 1 1 0 00 
   22500000000.0> 1 = 1 1 0 00 
   23000000000.0> 0 = 1 1 0 00 
   23500000000.0> 1 = 1 1 0 00 
   24000000000.0> 0 = 1 1 0 00 
   24500000000.0> 1 = 1 1 0 00 
   25000000000.0> 0 = 1 1 0 00 
   25500000000.0> 1 = 1 1 0 00 
