Groups:
a23_core:u_amber|o_wb_adr =, a23_core:u_amber|o_wb_adr[31], a23_core:u_amber|o_wb_adr[30], a23_core:u_amber|o_wb_adr[29], a23_core:u_amber|o_wb_adr[28], a23_core:u_amber|o_wb_adr[27], a23_core:u_amber|o_wb_adr[26], a23_core:u_amber|o_wb_adr[25], a23_core:u_amber|o_wb_adr[24], a23_core:u_amber|o_wb_adr[23], a23_core:u_amber|o_wb_adr[22], a23_core:u_amber|o_wb_adr[21], a23_core:u_amber|o_wb_adr[20], a23_core:u_amber|o_wb_adr[19], a23_core:u_amber|o_wb_adr[18], a23_core:u_amber|o_wb_adr[17], a23_core:u_amber|o_wb_adr[16], a23_core:u_amber|o_wb_adr[15], a23_core:u_amber|o_wb_adr[14], a23_core:u_amber|o_wb_adr[13], a23_core:u_amber|o_wb_adr[12], a23_core:u_amber|o_wb_adr[11], a23_core:u_amber|o_wb_adr[10], a23_core:u_amber|o_wb_adr[9], a23_core:u_amber|o_wb_adr[8], a23_core:u_amber|o_wb_adr[7], a23_core:u_amber|o_wb_adr[6], a23_core:u_amber|o_wb_adr[5], a23_core:u_amber|o_wb_adr[4], a23_core:u_amber|o_wb_adr[3], a23_core:u_amber|o_wb_adr[2], a23_core:u_amber|o_wb_adr[1], a23_core:u_amber|o_wb_adr[0],  hex

Data:
time unit: ps, wb_sdram_ctrl:u_sdram|wb_stb_i[0], a23_core:u_amber|a23_fetch:u_fetch|o_fetch_stall, a23_core:u_amber|a23_fetch:u_fetch|a23_cache:u_cache|i_wb_stall, a23_core:u_amber|a23_fetch:u_fetch|o_wb_stb, a23_core:u_amber|a23_fetch:u_fetch|i_wb_ack, a23_core:u_amber|o_wb_adr, a23_core:u_amber|o_wb_adr[31], a23_core:u_amber|o_wb_adr[30], a23_core:u_amber|o_wb_adr[29], a23_core:u_amber|o_wb_adr[28], a23_core:u_amber|o_wb_adr[27], a23_core:u_amber|o_wb_adr[26], a23_core:u_amber|o_wb_adr[25], a23_core:u_amber|o_wb_adr[24], a23_core:u_amber|o_wb_adr[23], a23_core:u_amber|o_wb_adr[22], a23_core:u_amber|o_wb_adr[21], a23_core:u_amber|o_wb_adr[20], a23_core:u_amber|o_wb_adr[19], a23_core:u_amber|o_wb_adr[18], a23_core:u_amber|o_wb_adr[17], a23_core:u_amber|o_wb_adr[16], a23_core:u_amber|o_wb_adr[15], a23_core:u_amber|o_wb_adr[14], a23_core:u_amber|o_wb_adr[13], a23_core:u_amber|o_wb_adr[12], a23_core:u_amber|o_wb_adr[11], a23_core:u_amber|o_wb_adr[10], a23_core:u_amber|o_wb_adr[9], a23_core:u_amber|o_wb_adr[8], a23_core:u_amber|o_wb_adr[7], a23_core:u_amber|o_wb_adr[6], a23_core:u_amber|o_wb_adr[5], a23_core:u_amber|o_wb_adr[4], a23_core:u_amber|o_wb_adr[3], a23_core:u_amber|o_wb_adr[2], a23_core:u_amber|o_wb_adr[1], a23_core:u_amber|o_wb_adr[0], a23_core:u_amber|a23_fetch:u_fetch|a23_cache:u_cache|o_stall, 
0, X, X, X, X, X, XXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
12500, 0, 1, 1, 1, 0, 00001708, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 
25000, 0, 0, 0, 1, 1, 00001708, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 
37500, 0, 1, 1, 1, 0, 0000170C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 
50000, 0, 0, 0, 1, 1, 0000170C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 
62500, 0, 1, 1, 1, 0, 00001700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
75000, 0, 0, 0, 1, 1, 00001700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
87500, 0, 1, 0, 0, 0, 00001700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
100000, 0, 1, 0, 0, 0, 00001700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
112500, 0, 1, 0, 0, 0, 00001700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
125000, 0, 1, 1, 1, 0, 00001710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 
137500, 0, 1, 0, 1, 1, 00001710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 
150000, 0, 1, 1, 1, 0, 00001714, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 
162500, 0, 0, 0, 1, 1, 00001714, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 
175000, 0, 1, 1, 1, 0, 00001718, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 
187500, 0, 0, 0, 1, 1, 00001718, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 
200000, 0, 1, 1, 1, 0, 0000171C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 
212500, 0, 0, 0, 1, 1, 0000171C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 
225000, 0, 0, 0, 0, 0, 0000171C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 
237500, 0, 1, 0, 0, 0, 0000171C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 
250000, 0, 1, 0, 0, 0, 0000171C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 
262500, 0, 1, 1, 1, 0, 00001720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 
275000, 0, 1, 0, 1, 1, 00001720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 
287500, 0, 1, 1, 1, 0, 00001724, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 
300000, 0, 0, 0, 1, 1, 00001724, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 
312500, 0, 1, 1, 1, 0, 00001728, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 
325000, 0, 0, 0, 1, 1, 00001728, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 
337500, 0, 1, 1, 1, 0, 0000172C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 
350000, 0, 0, 0, 1, 1, 0000172C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 
362500, 0, 0, 0, 0, 0, 0000172C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 
375000, 0, 1, 0, 0, 0, 0000172C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 
387500, 0, 1, 0, 0, 0, 0000172C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 
400000, 0, 1, 1, 1, 0, 00001730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 
412500, 0, 1, 0, 1, 1, 00001730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 
425000, 0, 1, 1, 1, 0, 00001734, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 
437500, 0, 0, 0, 1, 1, 00001734, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 
450000, 0, 1, 1, 1, 0, 00001738, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 
462500, 0, 0, 0, 1, 1, 00001738, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 
475000, 0, 1, 1, 1, 0, 0000173C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 
